"station","lat","lon","n_start","n_end"
"1 Ave & E 15 St",40.73221853,-73.98165557,4258,4272
"1 Ave & E 18 St",40.7338121919663,-73.9805442094803,2854,2860
"1 Ave & E 30 St",40.74144387,-73.97536082,3241,3251
"1 Ave & E 44 St",40.75001986,-73.96905301,2020,2013
"1 Ave & E 62 St",40.7612274,-73.96094022,2165,2156
"1 Ave & E 68 St",40.76500525,-73.95818491,3533,3530
"1 Ave & E 78 St",40.77140426,-73.9535166,2321,2377
"10 Ave & W 28 St",40.75066386,-74.00176802,3000,3015
"11 Ave & W 27 St",40.751396,-74.005226,2773,2786
"11 Ave & W 41 St",40.76030096,-73.99884222,2661,2673
"11 Ave & W 59 St",40.771522,-73.990541,1829,1793
"12 Ave & W 40 St",40.76087502,-74.00277668,2833,3379
"2 Ave & E 31 St",40.74290902,-73.97706058,3016,3020
"2 Ave & E 58 St",40.76020258,-73.96478473,1,0
"21 St & 41 Ave",40.7538334343762,-73.942676782608,122,114
"21 St & 43 Ave",40.75052534,-73.94594845,73,63
"3 Ave & E 62 St",40.76312584,-73.96526895,1226,1099
"3 Ave & Schermerhorn St",40.68683208,-73.9796772,288,284
"31 St & Thomson Ave",40.74469738,-73.93540375,104,96
"44 Dr & Jackson Ave",40.74718234,-73.9432635,417,427
"45 Rd & 11 St",40.74708586,-73.94977234,387,411
"46 Ave & 5 St",40.74731,-73.95451,716,741
"47 Ave & 31 St",40.743,-73.93561,139,152
"48 Ave & 5 St",40.7443632870669,-73.9558732509613,223,241
"5 Ave & E 29 St",40.7451677,-73.98683077,3164,3177
"5 Ave & E 63 St",40.76650452,-73.97147595,1249,1248
"5 Ave & E 73 St",40.77282817,-73.96685276,1723,1737
"5 Ave & E 78 St",40.7768286343997,-73.9638876914978,2149,2191
"6 Ave & Broome St",40.724399,-74.004704,1752,1772
"6 Ave & Canal St",40.72243797,-74.00566443,1436,1489
"6 Ave & W 33 St",40.74901271,-73.98848395,4002,4004
"8 Ave & W 31 St",40.750967348716,-73.994442075491,4634,4711
"8 Ave & W 33 St",40.751551,-73.993934,5090,5101
"8 Ave & W 52 St",40.76370739,-73.9851615,2857,2517
"9 Ave & W 16 St",40.74206539,-74.00443172,3208,3219
"9 Ave & W 18 St",40.74317449,-74.00366443,2495,2651
"9 Ave & W 22 St",40.7454973,-74.00197139,3754,3799
"9 Ave & W 45 St",40.76019252,-73.9912551,3235,3278
"9 St & 44 Rd",40.74966,-73.9521,131,172
"Adelphi St & Myrtle Ave",40.69308257,-73.97178913,905,854
"Albany Ave & Fulton St",40.6800105,-73.938475,99,65
"Allen St & E Houston St",40.722055,-73.989111,3061,2792
"Allen St & Hester St",40.71605866,-73.99190759,2518,2298
"Allen St & Rivington St",40.72019576,-73.98997825,2848,2749
"Amsterdam Ave & W 73 St",40.7796680900731,-73.9809304475784,2135,2132
