time,hex,lat,lon,altitude,squawk,callsign,vspeed,track,groundspeed,tas,qnh,mcp_alt,precision,gps_altitude,oat
04:07:35Z.505,4ca9bf,,,26750,,,,,,,,,,,
04:07:35Z.982,4ca9bf,,,26750,,,,,,,,,,,
04:07:35Z.993,4ca9bf,,,26750,,,,,,,,,,,
04:07:36Z.189,4ca9bf,,,26750,,,,,,,,,,,
04:07:38Z.800,4ca9bf,,,26750,,,1088,340.6,397,,,,,,
04:07:42Z.710,4ca9bf,,,26750,,,1088,340.6,397,,,,,,
04:07:48Z.931,4ca9bf,,,26975,,,1088,340.6,397,,,,4,,
04:07:49Z.182,4ca9bf,,,26975,,,1088,340.6,397,,,,4,,
04:07:49Z.821,4ca9bf,,,26975,,,1024,340.4,396,,,,4,,
04:07:50Z.501,4ca9bf,,,26975,,,1024,340.4,396,,,,4,,
04:07:50Z.521,4ca9bf,,,27000,,,1024,340.4,396,,,,4,,
04:07:50Z.731,4ca9bf,,,27000,,,1024,340.4,396,,,,4,,
04:07:51Z.207,4ca9bf,,,27025,,,1024,340.4,396,,,,4,,
04:07:51Z.871,4ca9bf,,,27025,7327,,1024,340.4,396,430,,,4,,
04:07:51Z.901,4ca9bf,,,27025,7327,,1024,340.4,396,430,,,4,,
04:07:52Z.207,4ca9bf,,,27025,7327,,1024,340.4,396,430,,,4,,
04:07:52Z.383,4ca9bf,,,27025,7327,,1024,340.4,396,430,,,4,,
04:07:53Z.158,4ca9bf,,,27050,7327,,1024,340.4,396,430,,,4,,
04:08:05Z.712,4ca9bf,,,27250,7327,,1024,340.4,396,430,,,4,,
04:08:05Z.853,4ca9bf,,,27250,7327,,960,340.5,397,430,,,4,,
04:08:06Z.153,4ca9bf,,,27250,7327,,960,340.5,397,430,,,4,,
04:08:06Z.343,4ca9bf,,,27250,7327,,960,340.5,397,430,,,4,,
04:08:06Z.442,4ca9bf,,,27250,7327,,960,340.5,397,430,,,4,,
04:08:06Z.703,4ca9bf,,,27275,7327,,960,340.5,397,430,,,4,,
04:08:06Z.913,4ca9bf,,,27275,7327,,960,340.5,397,430,,,4,,
04:08:07Z.133,4ca9bf,,,27275,7327,,960,340.5,397,430,,,4,,
04:08:07Z.164,4ca9bf,,,27275,7327,,960,340.5,397,430,,,4,,
04:08:07Z.363,4ca9bf,,,27275,7327,,960,340.5,397,430,,,4,,
04:08:07Z.453,4ca9bf,,,27275,7327,,960,340.5,397,430,,,4,,
04:08:07Z.603,4ca9bf,29.619001,34.431745,27275,7327,,960,340.5,397,430,,,4,,
04:08:07Z.747,4ca9bf,29.619001,34.431745,27275,7327,,960,340.5,397,430,1013,32000,4,,
04:08:07Z.749,4ca9bf,29.619001,34.431745,27275,7327,,960,340.5,397,430,1013,32000,4,,
04:08:07Z.753,4ca9bf,29.619001,34.431745,27275,7327,,960,340.5,397,430,1013,32000,4,,
04:08:07Z.783,4ca9bf,29.619001,34.431745,27275,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:08Z.073,4ca9bf,29.619827,34.431416,27275,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:08Z.154,4ca9bf,29.619827,34.431416,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:08Z.343,4ca9bf,29.619827,34.431416,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:08Z.483,4ca9bf,29.619827,34.431416,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:08Z.563,4ca9bf,29.620697,34.431047,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:08Z.873,4ca9bf,29.620697,34.431047,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:08Z.931,4ca9bf,29.620697,34.431047,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:08Z.935,4ca9bf,29.620697,34.431047,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:08Z.976,4ca9bf,29.620697,34.431047,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:09Z.093,4ca9bf,29.621608,34.430668,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:09Z.193,4ca9bf,29.621608,34.430668,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:09Z.393,4ca9bf,29.621608,34.430668,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:09Z.433,4ca9bf,29.621608,34.430668,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:09Z.503,4ca9bf,29.622306,34.430398,27300,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:10Z.625,4ca9bf,29.622306,34.430398,27325,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:11Z.164,4ca9bf,29.622306,34.430398,27325,7327,,960,340.5,397,430,1013,32000,4,,-30
04:08:11Z.873,4ca9bf,29.622306,34.430398,27325,7327,,1024,340.5,397,430,1013,32000,4,,-30
04:08:12Z.173,4ca9bf,29.626968,34.428511,27350,7327,,1024,340.5,397,430,1013,32000,4,,-30
04:08:12Z.463,4ca9bf,29.626968,34.428511,27350,7327,,1024,340.5,397,430,1013,32000,4,,-30
04:08:12Z.574,4ca9bf,29.626968,34.428511,27350,7327,,1024,340.5,397,430,1013,32000,4,,-30
